Date,AR Forecast,ARMA Forecast,ARIMA Forecast
2018-12-31,71902.89787768427,50214.98761424713,61374.994132283915
2019-01-31,72564.17474161228,58955.1306028305,52776.9740123616
2019-02-28,65854.97874581095,59341.279108963776,49363.231103635124
2019-03-31,61646.90865471123,37656.56702125456,48007.84457460411
2019-04-30,59815.300812229674,52702.11763622246,47469.704271659015
2019-05-31,57697.69837844265,55184.493362227775,47256.04198459108
2019-06-30,56096.0492754678,35638.738348517916,47171.20988287845
2019-07-31,55066.69674633615,52132.01051509754,47137.52829320843
2019-08-31,54222.654270666244,54103.79835644149,47124.155413605105
2019-09-30,53575.24979584949,35322.796950514865,47118.84586881707
2019-10-31,53109.47847038598,52453.083325501124,47116.73777641721
2019-11-30,52753.28494604648,53503.791586056206,47115.900783088444
